"","","","LG_Char","0.51"
"","","","GBD Version","4.01.2591","","","","","Temp","Limits Method"
"","","","Date","06-Feb-22 11:52:48 PM (PST)","","","","","32","Guaranteed By Design"
"","","","Die Type","VK78A-0B","","","","","",""
"","","","Product","Wafer Sort","","","","","",""
"","","","Lot Number","","","","","","",""
"","","","Wafer Number","","","","","","",""
"","","","Engineer","","","","","","",""
"","","","Approved By","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","TestType","","","Mean","Median","StDev","Min","Max","","NoScale","PD","SD","OD","SU","OU","NSigDown","NSigUp","GBDMinck","GBDMaxck","GBDMin","GBDMax","TesterLow","TesterHigh","LimitOverrideLow","LimitOverrideHigh","ECMinInput","ECMaxInput","GBCalcType","GBCalcTester","GBCalcComp","GBCalcGage1","GBCalcGage2","GBCalcCorrTar","GBCalcCorrDeltaMin","GBCalcCorrDeltaMax","GBCalcIns","GBCalcSupplyMean","GBCorrReq","GBCalcBlank","GBTestType","LimitsMethod","GBTempReq","GBTempMeansTested","GBTempMeanMin","GBTempMeanMax","GBTempDriftNeg","GBTempDriftPos","GBTempSigmaDriftMin","GBTempSigmaDriftMax","GBTempSigmaMin","GBTempSigmaMax","GBResCalcGage","GBTempValidDriftNeg","GBTempValidDriftPos","GBTempECShiftMin","GBTempECShiftMax","GBUncertaintyMin","GBUncertaintyMax","GBResDefMin","GBResDefMax","GBResCalcMinTotal","GBResCalcMaxTotal","GBResUserLow","GBResUserHigh","GBResAppLow","GBResAppHigh","CalcEC","ECMinOutput","ECMaxOutput","FTMin","FTMax","FTSPFOnlyMin","FTSPFOnlyMax","FTSPFMin","FTSPFMax","","SigmaP","SigmaD","GBDPassedMethod","","","","","","dB","Group"
"","","","Test #","Test Name","Test Type","Temp","Unit","Mean","Median","Standard Deviation","Min","Max","","Default Scales?","Process Dependent","Scale (Down)","Offset (Down)","Scale (Up)","Offset (Up)","N Sigma (Down)","N Sigma (Up)","GBD No Scale Min","GBD No Scale Max","GBD Min","GBD Max","EC/QA Low Limit (from tester)","EC/QA High Limit (from tester)","EC/QA Low Limit (Override)","EC/QA High Limit (Override)","EC / QA Min (Input)","EC / QA Max (Input)","GB Type","Tester Accuracy","HW Component Accuracy","T2T Gage or Combined Gage Sigma","B2B Gage Sigma","Correlation Target","Correlation Delta Min","Correlation Delta Max","Insertion Repeatability","Supply Mean Shift","Correlation Components Required?","Calculation Blank?","GB Test Type?","Limits Method","Temperature Components Required?","Means of Temperatures tested","Temperature Mean Shift (Min)","Temperature Mean Shift (Max)","NegDrift","PosDrift","Temperature Sigma Drift","Temperature Sigma Drift","Temperature Sigma Shift (Min)","Temperature Sigma Shift (Max)","Calculated Gage Components","Valid NegDrift","Valid PosDrift","EC Shift (Min)","EC Shift (Max)","Uncertainty GB (Min)","Uncertainty GB (Max)","Default Guardband (Min)","Default Guardband (Max)","Calculated Guardband (Min)","Calculated Guardband (Max)","Override Guardband (Min)","Override Guardband (Max)","Applied Guardband (Min)","Applied Guardband (Max)","Calc EC?","EC / QA Min (Output)","EC / QA Max (Output)","FT Min","FT Max","(For Calc Only) SPF (Min)","(For Calc Only) SPF (Max)","(For Calc Only) FT SPF (Min)","(For Calc Only) FT SPF (Min)","QA
GBD
Flag","Population Sigmas Passed","Drift Sigmas Passed","Passed GBD by Method","QA CPK","FT CPK","FT CP Low","FT CP High","Yield Loss","","","Data Sheet Parameter","Notes","","","Sigma T Max","Sigma TSPF Max","Sigma T","32","","Neg Mean Drift","Pos Mean Drift","Drift Temp","32"
"","","","1001140","T001.PGM0_(Opens)/","PROD - EC","32","mV","-557.8944","-552.6486","21.08313","-789.8549","-537.4069","","","TRUE","1.33","0","0.66","0","","","","","-910.2429","-284.7211","","","-1.0E+03","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","55.0","55.0","0.0","0.0","","","55.0","55.0","","","","-945.0","45.0","","","","","Pass","9.200970","","","2.573965","2.222259","","","0.0000000013074000493942762%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001130","T001.PGM1_(Opens)/","PROD - EC","32","mV","-588.1992","-584.2665","17.04971","-794.3784","-579.9598","","","TRUE","1.33","0","0.66","0","","","","","-918.3616","-320.6946","","","-1.0E+03","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","55.0","55.0","0.0","0.0","","","55.0","55.0","","","","-945.0","45.0","","","","","Pass","9.600188","","","2.546379","2.178281","","","0.000000003183757674619349%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001150","T001.DATA_PGM2_(Opens)/","PROD - EC","32","mV","-392.7319","-390.4285","15.11127","-658.3157","-374.7992","","","TRUE","1.33","0","0.66","0","","","","","-642.9214","-199.3624","","","-800.0","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","45.0","45.0","0.0","0.0","","","45.0","45.0","","","","-755.0","55.0","","","","","Pass","13.81563","","","3.416529","3.010720","","","0.000000000000000008415647900289618%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001160","T001.CLK_EN_(Opens)/","PROD - EC","32","mV","-639.3179","-638.6118","3.870568","-660.5943","-635.7528","","","TRUE","1.33","0","0.66","0","","","","","-881.1800","-406.6224","","","-800.0","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","45.0","45.0","0.0","0.0","","","45.0","45.0","","","","-755.0","55.0","","","","","Fail","-9.769676","","","1.315741","936.4408E-03","","","0.24822950478012637%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001090","T001.LX_(Opens)/","PROD - EC","32","mV","-339.6084","-338.9281","6.513618","-369.2868","-319.6241","","","TRUE","1.33","0","0.66","0","","","","","-503.6579","-198.3476","","","-550.0","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","32.5","32.5","0.0","0.0","","","32.5","32.5","","","","-517.5","67.5","","","","","Pass","11.34935","","","2.607146","2.181350","","","0.0000000029937204716563797%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001070","T001.VDDH_(Opens)/","PROD - EC","32","mV","-460.4092","-460.5061","1.248616","-463.8955","-453.2444","","","TRUE","1.33","0","0.66","0","","","","","-622.3082","-298.9255","","","-655.0043","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","37.75021","37.75021","0.0","0.0","","","37.75021","37.75021","","","","-617.2540","62.24978","","","","","Pass","25.68862","","","2.404426","1.937484","","","0.00000030781948099822016%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001190","T001.BST_LX_(Opens)/","PROD - EC","32","mV","251.3688","251.4173","3.87625","228.9200","264.3366","","","TRUE","0.66","0","1.33","0","","","","","150.5534","365.2530","","","-100.0","400.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","25.0","25.0","0.0","0.0","","","25.0","25.0","","","","-75.0","375.0","","","","","Pass","12.73989","","","2.647359","2.181592","","","0.00000000297921687320013%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001210","T001.PGM0_AVDD_(Opens)/","PROD - EC","32","mV","640.1735","638.2121","9.369589","633.9958","784.2087","","","TRUE","0.66","0","1.33","0","","","","","385.4109","926.2002","","","-100.0","1.3E+03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","70.0","70.0","0.0","0.0","","","70.0","70.0","","","","-30.0","1.23E+03","","","","","Pass","35.99624","","","4.764846","4.247084","","","0.000000000000000000000000000000000000000000000000013454834287050192%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001220","T001.PGM1_AVDD_(Opens)/","PROD - EC","32","mV","501.7766","498.0777","16.98061","480.7223","797.1807","","","TRUE","0.66","0","1.33","0","","","","","263.9293","802.8683","","","-100.0","1.3E+03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","70.0","70.0","0.0","0.0","","","70.0","70.0","","","","-30.0","1.23E+03","","","","","Pass","28.01234","","","4.701080","4.181540","","","0.0000000000000000000000000000000002127176084320866%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001230","T001.DATA_PGM2_AVDD_(Opens)/","PROD - EC","32","mV","-399.7955","-398.2614","13.67212","-615.5305","-380.4696","","","TRUE","1.33","0","0.66","0","","","","","-640.8315","-209.7234","","","-800.0","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","45.0","45.0","0.0","0.0","","","45.0","45.0","","","","-755.0","55.0","","","","","Pass","14.75324","","","3.476830","3.059301","","","0.0000000000000000021977973526597634%","",""," "," "," "," ","32"," "," "," "," ","32",,,
