Test#,DlogMin,DlogUnit,LGMin,LGUnit,CompareMin,,DlogMax,DlogUnit,LGMax,LGUnit,CompareMax,
1900170,-0.215,uA,-0.2153367,uA,,,0.314,uA,0.3142006,uA,,
1900210,4.95,V,4.95,V,,,5.05,V,5.05,V,,
1900230,-5,uA,-4.999999,uA,,,-1.624,uA,-1.623743,uA,,
1900235,1.138,mA,1.137733,mA,,,2.66,mA,2.659641,mA,,
1900240,-0.036,uA,-0.03630144,uA,,,0.747,uA,0.7472589,uA,,
1900241,-0.078,uA,-0.07768967,uA,,,0.904,uA,0.9044177,uA,,
1900242,-0.063,uA,-0.06331776,uA,,,1.005,uA,1.005221,uA,,
1900245,1.098,uA,1.098395,uA,,,21.42,uA,21.41973,uA,,
1900250,-0.5,uA,-0.4999999,uA,,,0.694,uA,0.6935258,uA,,
1900260,-12.57,nA,-12.5704,nA,,,1166.24,nA,1166.24,nA,,
1900270,-600,nA,-600,nA,,,990.598,nA,990.5978,nA,,
1900280,0.14,uA,0.1399999,uA,,,25,uA,25,uA,,
1002010,-318.17,mV,-318.1698,mV,,,-122.021,mV,-122.0206,mV,,
1002030,-9,uA,-9,uA,,,-2.475,uA,-2.4749,uA,,
1002035,1.362,mA,1.362384,mA,,,2.417,mA,2.417008,mA,,
1002040,-36.521,nA,-36.52069,nA,,,885.022,nA,885.0217,nA,,
1002041,-75.919,nA,-75.91938,nA,,,909.81,nA,909.8095,nA,,
1002042,-46.951,nA,-46.95142,nA,,,1239.603,nA,1239.603,nA,,
1002045,5,uA,4.999999,uA,,,9,uA,9,uA,,
1002050,-0.034,uA,-0.03432581,uA,,,0.54,uA,0.5401671,uA,,
1002060,-52.33,nA,-52.3295,nA,,,992.303,nA,992.3027,nA,,
1002070,-0.095,uA,-0.09543001,uA,,,0.2,uA,0.2004464,uA,,
1002080,-343.69,nA,-343.6904,nA,,,99.424,nA,99.42394,nA,,
1002090,-0.004,uA,-0.004220635,uA,,,0.743,uA,0.7431257,uA,,
1002110,-20,mV,-20,mV,,,20,mV,20,mV,,
1002130,-9.157,uA,-9.156776,uA,,,-4.699,uA,-4.699177,uA,,
1002135,1.363,mA,1.362656,mA,,,2.417,mA,2.416847,mA,,
1002140,-0.029,uA,-0.02850147,uA,,,0.683,uA,0.6830025,uA,,
1002141,-0.068,uA,-0.06838476,uA,,,0.648,uA,0.6475111,uA,,
1002142,-0.542,uA,-0.5418065,uA,,,10.876,uA,10.8761,uA,,
1002145,5,uA,4.999999,uA,,,9.6,uA,9.6,uA,,
1002150,-48.33,nA,-48.32976,nA,,,600.49,nA,600.4901,nA,,
1002160,-60.321,nA,-60.32064,nA,,,991.1,nA,991.1001,nA,,
1002170,-0.221,uA,-0.2214846,uA,,,0.321,uA,0.3213034,uA,,
1002210,11.95,V,11.94999,V,,,12.05,V,12.05,V,,
1002230,-9,uA,-9,uA,,,-2.473,uA,-2.472658,uA,,
1002235,1.139,mA,1.139183,mA,,,2.658,mA,2.65802,mA,,
1002240,-0.036,uA,-0.03573978,uA,,,0.742,uA,0.7423441,uA,,
1002241,-0.077,uA,-0.07742632,uA,,,0.902,uA,0.901806,uA,,
1002242,-0.064,uA,-0.06371792,uA,,,1.007,uA,1.007036,uA,,
1002245,5,uA,4.999999,uA,,,9,uA,9,uA,,
1002250,-0.5,uA,-0.4999999,uA,,,0.566,uA,0.5663037,uA,,
1002260,-23.639,nA,-23.63865,nA,,,1232.845,nA,1232.845,nA,,
1002270,-843.419,nA,-843.4194,nA,,,979.095,nA,979.0954,nA,,
1002280,-3.06,uA,-3.060237,uA,,,35.796,uA,35.79634,uA,,
1052010,-300,mV,-300,mV,,,-150,mV,-150,mV,,
1052030,-11,uA,-11,uA,,,-2.952,uA,-2.952393,uA,,
1052035,1.363,mA,1.363003,mA,,,2.417,mA,2.416781,mA,,
1052040,-36.073,nA,-36.07334,nA,,,747.587,nA,747.5869,nA,,
1052041,-76.492,nA,-76.4919,nA,,,901.317,nA,901.3172,nA,,
1052042,-63.691,nA,-63.69062,nA,,,1018.4,nA,1018.4,nA,,
1052045,2.009,uA,2.008544,uA,,,40.314,uA,40.31372,uA,,
1052050,-0.025,uA,-0.0254918,uA,,,1.109,uA,1.109401,uA,,
1052060,-46.649,nA,-46.64854,nA,,,1074.956,nA,1074.956,nA,,
1052070,-0.465,uA,-0.4651081,uA,,,0.582,uA,0.5821576,uA,,
1052080,-24.9,uA,-24.9,uA,,,35,uA,35,uA,,
1052090,-49,uA,-48.99999,uA,,,58.41,uA,58.41041,uA,,
1052110,-50,mV,-50,mV,,,50,mV,50,mV,,
1052130,-11.091,uA,-11.09077,uA,,,-5.627,uA,-5.626821,uA,,
1052135,1.363,mA,1.363004,mA,,,2.417,mA,2.416909,mA,,
1052140,-0.028,uA,-0.02822669,uA,,,0.678,uA,0.6782507,uA,,
1052141,-0.069,uA,-0.06883697,uA,,,0.649,uA,0.6486604,uA,,
1052142,-0.54,uA,-0.5395551,uA,,,10.858,uA,10.85776,uA,,
1052145,2.263,uA,2.262788,uA,,,58.731,uA,58.73138,uA,,
1052150,-7.29,uA,-7.29,uA,,,22.205,uA,22.2053,uA,,
1052160,-59.931,nA,-59.93103,nA,,,985.467,nA,985.4672,nA,,
1052170,-0.473,uA,-0.4725376,uA,,,0.589,uA,0.5892635,uA,,
1052210,15.95,V,15.94999,V,,,16.05,V,16.04999,V,,
1052230,-11,uA,-11,uA,,,-2.951,uA,-2.951359,uA,,
1052235,1.14,mA,1.139795,mA,,,2.658,mA,2.657741,mA,,
1052240,-0.036,uA,-0.0361497,uA,,,0.743,uA,0.7430098,uA,,
1052241,-0.077,uA,-0.07718145,uA,,,0.899,uA,0.8987736,uA,,
1052242,-0.064,uA,-0.06402244,uA,,,1.006,uA,1.005942,uA,,
1052245,2.108,uA,2.10778,uA,,,86.548,uA,86.54797,uA,,
1052250,-39.5,uA,-39.49999,uA,,,23.768,uA,23.76786,uA,,
1052260,-24.978,nA,-24.97794,nA,,,1242.445,nA,1242.445,nA,,
1052270,-407.641,nA,-407.6413,nA,,,511.268,nA,511.2677,nA,,
1052280,-3.09,uA,-3.090337,uA,,,35.967,uA,35.96674,uA,,
17200010,-500,mV,-500,mV,,,0,mV,0,mV,,
