Info,Envision,R15.7.2
Info,ProgramName,VK78ABAtp01FTCHAR_SS_eng05
Info,TimeStamp,Tue May 3 14:54:54 2022
Info,Device,MAX20810_VK78A-0B
Info,LotID,LIMIT_VERIFY
Info,SubLotID,
Info,TesterName,ltxcx064
Info,TesterType,Fusion_MX20C
Info,Operator,mtarvina
Info,FabID,
Info,Flow,CHAR_ROOM
Info,AdapterBoard,VK76_SS
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1003612,-150,nA,150,nA,SNSP_LEAKAGE_0p4V
1003613,-150,nA,150,nA,SNSP_LEAKAGE_0p8V
1003620,-550,uA,-100,uA,SNSN_LEAKAGE_pos_0p1V
1003630,-550,uA,-100,uA,SNSN_LEAKAGE_0V
1003640,-550,uA,-100,uA,SNSN_LEAKAGE_neg_0p1V
1003710,-150,nA,165,nA,DATA_LEAKAGE_1p8V
1003720,-150,nA,165,nA,CLK_LEAKAGE_1p8V
1003730,-150,nA,150,nA,DATA_LEAKAGE_0p1V
1003740,-150,nA,150,nA,CLK_LEAKAGE_0p1V
1002010,-375.842,mV,-149.641,mV,Pre-Stress_VXVerify_BothOff_Nominal
1002030,-16.038,uA,-1.892,uA,Pre-Stress_Ipgm1q_BothOff_Nominal
1002035,1.313,mA,2.564,mA,Pre-Stress_Iddq_BothOff_Nominal
1002040,-81.605,nA,985.568,nA,Pre-Stress_Iccq_Nom_BothOff_Nominal
1002041,-57.949,nA,629.027,nA,Pre-Stress_Iccq_1.71V_BothOff_Nominal
1002042,44.731,nA,3341.766,nA,Pre-Stress_Iccq_1.95V_BothOff_Nominal
1002045,0.262,uA,34.219,uA,Pre-Stress_Iddhq_BothOff_Nominal
1002050,-11.901,nA,281.396,nA,Pre-Stress_Iddhq_rst_BothOff_Nominal
1002060,-120,nA,799.569,nA,Pre-Stress_Ibstq_BothOff_Nominal
1002070,-39.492,nA,12,nA,Pre-Stress_Ldoin_BothOff_Nominal
1002080,-262.683,nA,140.930,nA,Pre-Stress_VXLeakage0V_BothOff_Nominal
1002090,-19.413,nA,563.039,nA,Pre-Stress_VXLeakageVddh_BothOff_Nominal
1002110,-50,mV,50,mV,Pre-Stress_VXVerify_LSon_Nominal
1002130,-9.316,uA,-4.512,uA,Pre-Stress_Ipgm1q_LSon_Nominal
1002135,1.313,mA,2.564,mA,Pre-Stress_Iddq_LSon_Nominal
1002140,-35.174,nA,625.077,nA,Pre-Stress_Iccq_Nom_LSon_Nominal
1002141,-20.635,nA,303.159,nA,Pre-Stress_Iccq_1.71V_LSon_Nominal
1002142,-7.612,uA,84.997,uA,Pre-Stress_Iccq_1.95V_LSon_Nominal
1002145,0.261,uA,34.187,uA,Pre-Stress_Iddhq_LSon_Nominal
1002150,-13.422,nA,253.412,nA,Pre-Stress_Iddhq_rst_LSon_Nominal
1002160,-48.685,nA,647.069,nA,Pre-Stress_Ibstq_LSon_Nominal
1002170,-38.647,nA,-2.068,nA,Pre-Stress_Ldoin_LSon_Nominal
1002210,11.980,V,12.010,V,Pre-Stress_VXVerify_HSon_Nominal
1002230,-16.039,uA,-1.892,uA,Pre-Stress_Ipgm1q_HSon_Nominal
1002235,1.100,mA,2.808,mA,Pre-Stress_Iddq_HSon_Nominal
1002240,-59.315,nA,698.880,nA,Pre-Stress_Iccq_Nom_HSon_Nominal
1002241,-58.265,nA,607.114,nA,Pre-Stress_Iccq_1.71V_HSon_Nominal
1002242,-75.352,nA,2781.810,nA,Pre-Stress_Iccq_1.95V_HSon_Nominal
1002245,0.235,uA,35.110,uA,Pre-Stress_Iddhq_HSon_Nominal
1002250,-0.057,uA,0.774,uA,Pre-Stress_Iddhq_rst_HSon_Nominal
1002260,43.116,nA,874.630,nA,Pre-Stress_Ibstq_HSon_Nominal
1002270,-20.249,nA,12,nA,Pre-Stress_Ldoin_HSon_Nominal
1002280,-8.667,uA,46.261,uA,Pre-Stress_Iddq_AllOff_Nominal
1004510,0,none,0,none,T004.Scan.StuckAt.out1
1004530,0,none,0,none,T004.Scan.TDelay.out1
1004570,0,none,0,none,T004.Scan.IDDQ.out
220020,0,none,0,none,read
220030,0,none,138,none,trimmed
220050,1,none,1,none,pre
220060,1,none,1,none,pre
220070,1,none,1,none,pre
2000000,0,none,255,none,pre
2000001,0,none,255,none,pre
2000002,0,none,255,none,pre
2000003,0,none,255,none,pre
2000004,0,none,255,none,pre
2000005,0,none,255,none,pre
2000006,0,none,255,none,pre
2000007,0,none,255,none,pre
2000008,0,none,255,none,pre
2000009,0,none,255,none,pre
2000010,0,none,255,none,pre
2000011,0,none,255,none,pre
2000012,0,none,255,none,pre
2000013,0,none,255,none,pre
2000014,0,none,255,none,pre
2000015,0,none,255,none,pre
2000016,0,none,255,none,pre
2000017,0,none,255,none,pre
2000018,0,none,255,none,pre
2000019,0,none,255,none,pre
2000020,0,none,255,none,pre
2000021,0,none,255,none,pre
