Info,Envision,R15.7.2
Info,ProgramName,VK78ABAtp01FTCHAR_SS_eng01
Info,TimeStamp,Mon Feb 21 18:57:37 2022
Info,Device,MAX20810_VK78A-0B
Info,LotID,DLOG_CHECK
Info,SubLotID,
Info,TesterName,ltxcx064
Info,TesterType,Fusion_MX20C
Info,Operator,skipall
Info,FabID,
Info,Flow,CHAR_ROOM_QFN
Info,AdapterBoard,VK76_SS
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1002040,20,nA,4048.927,nA,Pre-Stress_Iccq_Nom_BothOff_Nominal
1002045,2.931,uA,34.281,uA,Pre-Stress_Iddhq_BothOff_Nominal
1002050,-64.582,nA,829.218,nA,Pre-Stress_Iddhq_rst_BothOff_Nominal
1002060,-150,nA,1473.244,nA,Pre-Stress_Ibstq_BothOff_Nominal
1002070,-43.103,nA,53.254,nA,Pre-Stress_Ldoin_BothOff_Nominal
1002080,-1009.165,nA,354.660,nA,Pre-Stress_VXLeakage0V_BothOff_Nominal
1002090,-20,nA,3518.647,nA,Pre-Stress_VXLeakageVddh_BothOff_Nominal
1002110,-38.340,mV,45.544,mV,Pre-Stress_VXVerify_LSon_Nominal
1002130,-9.713,uA,-4.599,uA,Pre-Stress_Ipgm1q_LSon_Nominal
1002135,1.343,mA,2.450,mA,Pre-Stress_Iddq_LSon_Nominal
1002140,10,nA,1702.991,nA,Pre-Stress_Iccq_Nom_LSon_Nominal
1002145,2.935,uA,34.308,uA,Pre-Stress_Iddhq_LSon_Nominal
1002150,3.962,nA,789.003,nA,Pre-Stress_Iddhq_rst_LSon_Nominal
1002160,31.181,nA,1108.605,nA,Pre-Stress_Ibstq_LSon_Nominal
1002170,-25.395,nA,25.514,nA,Pre-Stress_Ldoin_LSon_Nominal
1002210,11.984,V,12.006,V,Pre-Stress_VXVerify_HSon_Nominal
1002230,-16.190,uA,-2.874,uA,Pre-Stress_Ipgm1q_HSon_Nominal
1002235,1.175,mA,2.654,mA,Pre-Stress_Iddq_HSon_Nominal
1002240,-200,nA,4019.077,nA,Pre-Stress_Iccq_Nom_HSon_Nominal
1002245,2.888,uA,34.033,uA,Pre-Stress_Iddhq_HSon_Nominal
1002250,-0.808,uA,2,uA,Pre-Stress_Iddhq_rst_HSon_Nominal
1002260,77.721,nA,1534.367,nA,Pre-Stress_Ibstq_HSon_Nominal
1002270,-28.235,nA,24.830,nA,Pre-Stress_Ldoin_HSon_Nominal
1002280,0.712,uA,22.260,uA,Pre-Stress_Iddq_AllOff_Nominal
1004510,0,none,0,none,T004.Scan.StuckAt.out1
1004530,0,none,0,none,T004.Scan.TDelay.out1
1004570,0,none,0,none,T004.Scan.IDDQ.out
220020,0,none,0,none,read
220030,0,none,138,none,trimmed
220050,1,none,1,none,pre
220060,1,none,1,none,pre
220070,1,none,1,none,pre
2000000,0,none,255,none,pre
2000001,0,none,255,none,pre
2000002,0,none,255,none,pre
2000003,0,none,255,none,pre
2000004,0,none,255,none,pre
2000005,0,none,255,none,pre
2000006,0,none,255,none,pre
2000007,0,none,255,none,pre
2000008,0,none,255,none,pre
2000009,0,none,255,none,pre
2000010,0,none,255,none,pre
2000011,0,none,255,none,pre
2000012,0,none,255,none,pre
