Test#,DlogMin,DlogUnit,LGMin,LGUnit,CompareMin,,DlogMax,DlogUnit,LGMax,LGUnit,CompareMax
1003460,-26.2,uA,-26.2,uA,,,-6.2,uA,-6.2,uA,
1003450,100.0,uA,100.0,uA,,,537.0,uA,537.0,uA,
1003455,4.0,mA,4.0,mA,,,9.5,mA,9.5,mA,
1003610,-150.0,nA,-150.0,nA,,,150.0,nA,150.0,nA,
1003611,-150.0,nA,-150.0,nA,,,150.0,nA,150.0,nA,
1003612,-150.0,nA,-150.0,nA,,,150.0,nA,150.0,nA,
1003613,-150.0,nA,-150.0,nA,,,150.0,nA,150.0,nA,
1003620,-550.0,uA,-550.0,uA,,,-100.0,uA,-100.0,uA,
1003630,-550.0,uA,-550.0,uA,,,-100.0,uA,-100.0,uA,
1003640,-550.0,uA,-550.0,uA,,,-100.0,uA,-100.0,uA,
1003710,-150.0,nA,-150.0,nA,,,165.0,nA,165.0,nA,
1003720,-150.0,nA,-150.0,nA,,,165.0,nA,165.0,nA,
1003730,-150.0,nA,-150.0,nA,,,150.0,nA,150.0,nA,
1003740,-150.0,nA,-150.0,nA,,,150.0,nA,150.0,nA,
1002010,-375.842,mV,-375.8424,mV,,,-149.641,mV,-149.6407,mV,
1002030,-16.038,uA,-16.03828,uA,,,-1.892,uA,-1.891781,uA,
1002035,1.313,mA,1.313184,mA,,,2.564,mA,2.563898,mA,
1002040,-81.605,nA,-81.60538,nA,,,985.568,nA,985.5683,nA,
1002041,-57.949,nA,-57.94868,nA,,,629.027,nA,629.0274,nA,
1002042,44.731,nA,44.73081,nA,,,3341.766,nA,3341.766,nA,
1002045,0.262,uA,0.2623574,uA,,,34.219,uA,34.21909,uA,
1002050,-11.901,nA,-11.9009,nA,,,281.396,nA,281.3963,nA,
1002060,-120.0,nA,-78.46606,nA,X,,799.569,nA,799.5689,nA,
1002070,-39.492,nA,-39.4917,nA,,,12.0,nA,1.272,nA,X
1002080,-262.683,nA,-262.6828,nA,,,140.93,nA,140.9295,nA,
1002090,-19.413,nA,-19.41325,nA,,,563.039,nA,563.0388,nA,
1002110,-50.0,mV,-50.0,mV,,,50.0,mV,50.0,mV,
1002130,-9.316,uA,-9.316317,uA,,,-4.512,uA,-4.512478,uA,
1002135,1.313,mA,1.313096,mA,,,2.564,mA,2.563798,mA,
1002140,-35.174,nA,-35.17402,nA,,,625.077,nA,625.0774,nA,
1002141,-20.635,nA,-20.63515,nA,,,303.159,nA,303.159,nA,
